Id,coord1,coord2,Serol,Year,Month,Day,Week,Site,Region,MetaRegion,MetaRegionB,Sex,Age,UK_Date,Date_continuous
9086,-11.06,-77.46,0,2016,4,28,17,LMA6,Lima,Lima,Lima,M,A,28/04/2016,2016.333333
9088,-11.06,-77.46,0,2016,4,28,17,LMA6,Lima,Lima,Lima,M,SA,28/04/2016,2016.333333
9091,-11.06,-77.46,1,2016,4,28,17,LMA6,Lima,Lima,Lima,M,A,28/04/2016,2016.333333
9092,-11.06,-77.46,1,2016,4,28,17,LMA6,Lima,Lima,Lima,M,A,28/04/2016,2016.333333
9093,-11.06,-77.46,0,2016,4,28,17,LMA6,Lima,Lima,Lima,F,SA,28/04/2016,2016.333333
9094,-11.06,-77.46,0,2016,4,28,17,LMA6,Lima,Lima,Lima,F,J,28/04/2016,2016.333333
9095,-11.06,-77.46,1,2016,4,28,17,LMA6,Lima,Lima,Lima,M,A,28/04/2016,2016.333333
2941,-11.06,-77.46,1,2016,4,29,18,LMA6,Lima,Lima,Lima,M,A,29/04/2016,2016.333333
3838,-11.06,-77.46,0,2016,4,29,18,LMA6,Lima,Lima,Lima,F,A,29/04/2016,2016.333333
5294,-11.06,-77.46,1,2016,4,29,18,LMA6,Lima,Lima,Lima,F,A,29/04/2016,2016.333333
5306,-11.06,-77.46,1,2016,4,29,18,LMA6,Lima,Lima,Lima,F,A,29/04/2016,2016.333333
5309,-11.06,-77.46,1,2016,4,29,18,LMA6,Lima,Lima,Lima,M,A,29/04/2016,2016.333333
6640,-11.06,-77.46,0,2016,4,29,18,LMA6,Lima,Lima,Lima,F,A,29/04/2016,2016.333333
9096,-11.06,-77.46,1,2016,4,29,18,LMA6,Lima,Lima,Lima,M,A,29/04/2016,2016.333333
9097,-11.06,-77.46,0,2016,4,29,18,LMA6,Lima,Lima,Lima,M,A,29/04/2016,2016.333333
9098,-11.06,-77.46,1,2016,4,29,18,LMA6,Lima,Lima,Lima,F,A,29/04/2016,2016.333333
9100,-11.06,-77.46,1,2016,4,29,18,LMA6,Lima,Lima,Lima,M,A,29/04/2016,2016.333333
9101,-11.06,-77.46,0,2016,4,29,18,LMA6,Lima,Lima,Lima,F,SA,29/04/2016,2016.333333
9102,-11.06,-77.46,0,2016,4,29,18,LMA6,Lima,Lima,Lima,F,A,29/04/2016,2016.333333
9104,-11.06,-77.46,1,2016,4,29,18,LMA6,Lima,Lima,Lima,F,A,29/04/2016,2016.333333
9105,-10.64,-77.82,0,2016,4,30,18,LMA5,Lima,Lima,Lima,F,J,30/04/2016,2016.333333
9106,-10.64,-77.82,0,2016,4,30,18,LMA5,Lima,Lima,Lima,F,J,30/04/2016,2016.333333
9108,-10.64,-77.82,1,2016,4,30,18,LMA5,Lima,Lima,Lima,F,A,30/04/2016,2016.333333
9109,-10.64,-77.82,1,2016,4,30,18,LMA5,Lima,Lima,Lima,F,A,30/04/2016,2016.333333
9110,-10.64,-77.82,1,2016,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2016,2016.333333
9111,-10.64,-77.82,0,2016,4,30,18,LMA5,Lima,Lima,Lima,F,SA,30/04/2016,2016.333333
9112,-10.64,-77.82,1,2016,4,30,18,LMA5,Lima,Lima,Lima,F,A,30/04/2016,2016.333333
9113,-10.64,-77.82,0,2016,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2016,2016.333333
9114,-10.64,-77.82,1,2016,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2016,2016.333333
9115,-10.64,-77.82,0,2016,4,30,18,LMA5,Lima,Lima,Lima,F,J,30/04/2016,2016.333333
9116,-10.64,-77.82,1,2016,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2016,2016.333333
9117,-10.64,-77.82,0,2016,4,30,18,LMA5,Lima,Lima,Lima,M,SA,30/04/2016,2016.333333
9119,-10.64,-77.82,1,2016,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2016,2016.333333
9120,-10.64,-77.82,0,2016,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2016,2016.333333
9121,-10.64,-77.82,0,2016,4,30,18,LMA5,Lima,Lima,Lima,M,SA,30/04/2016,2016.333333
9122,-10.64,-77.82,1,2016,4,30,18,LMA5,Lima,Lima,Lima,M,A,30/04/2016,2016.333333
9123,-10.64,-77.82,0,2016,4,30,18,LMA5,Lima,Lima,Lima,M,J,30/04/2016,2016.333333
5481,-12.66558,-76.66798,1,2017,3,29,13,LMA4,Lima,Lima,Lima,M,A,29/03/2017,2017.25
